Common code,Original name,English suggestion,Engl. abbr.,Engl. Aliases,German suggestion,German abbr.,German aliases,Dutch name,Dutch abbr.,Dutch aliases,Description
XCQ,Cartridge,Cartridge,,,Kartusche,,,patroon,,,Package containing a charge such as propelling explosive for firearms or ink toner for a printer.
XKG,Keg,Keg,,,Keg,,,vat (Engels: keg),,,
XCR,Crate,Crate,,,Kiste,,,krat,,,
X4G,"Box, fibreboard",Fibreboard box,,,Kiste aus Hartfaserplatten,,,spaanplaat box,,,
X4F,"Box, reconstituted wood",Reconstituted wood box,,,Kiste aus Holzfaserwerkstoffen,,,box van geperst hout,,,
X4C,"Box, natural wood",Natural wood box,,,Kiste aus Naturholz,,,houten box,,,
XED,"Case, with pallet base ",Case with pallet base,,,Kiste mit Palettenboden,,,kist met palletbodem,,,
XPB,"Pallet, box Combined open-ended box and pallet",Pallet box,,,Kiste mit Palettenboden,,,open krat met palletbodem,,,
XKI,Kit,Kit,,,Kit,,,kit,,,A set of articles or implements used for a specific purpose.
XAI,Clamshell,Clamshell,,,Klappverpackung,,,scharnierverpakking,,,
XRJ,"Rack, clothing hanger",Clothing hanger rack,,,Kleiderbügelständer,,,kleerhanger rek,,,
XCF,Coffer ,Coffer ,,,Koffer,,,koffer ,,,
XSU,Suitcase ,Suitcase ,,,Koffer ,,,koffer ,,,
XFL,Flask,Flask,,,Kolben,,,heupfles,,,
XPA,Packet ,Packet ,,,Kollo,,,pakje,,,Small package.
XAJ,Cone,Cone,,,Kone,,,kegel,,,Container used in the transport of linear material such as yarn.
XBK,Basket ,Basket ,,,Korb ,,,mand,,,
XPJ,Punnet,Punnet,,,Körbchen,,,bakje,,,
XCO,"Carboy, non-protected",Carboy,,,Korbflasche,,,ballonfles (carboy),,,
XVR,"Bulk, solid, granular particles (“grains”) ",Granular particles solid bulk (“grains”),,,"Körnige Partikel, feste Schüttgüter (""Körner"")",,,bulk korrels,,,
XJG,Jug,Jug,,,Krug,,,kan,,,
XPH,Pitcher,Pitcher,,,Krug,,,kruik,,,
XBI,Bin,Bin,,,Kübel,,,bak,,,
XCJ,Coffin ,Coffin ,,,Lade,,,kist,,,
XCZ,Canvas ,Canvas ,,,Leinen,,,canvas,,,
XLV,Liftvan,Liftvan,,,Liftvan,,,verhuiskist,,,A wooden or metal container used for packing household goods and personal effects.
XP3,LPR pallet 60 cm x 80 cm,LPR pallet 60 cm x 80 cm,,,LPR-Palette 60 cm x 80 cm,,,LPR pallet 60 cm x 80 cm,,,LPR (La Pallet Rouge) standard pallet of dimensions 60 cm x 80 cm.
XP4,LPR pallet 80 cm x 120 cm,LPR pallet 80 cm x 120 cm,,,LPR-Palette 80 cm x 120 cm,,,LPR pallet 80 cm x 120 cm,,,LPR (La Pallet Rouge) standard pallet of dimensions 80 cm x 120 cm.
XMT,Mat,Mat,,,Matte,,,mat,,,
XNG,"Unpacked or unpackaged, multiple units",Multiple units unpackaged,,,Mehrere Einheiten unverpackt,,,"meerdere eenheden, onverpakt",,,
XXJ,"Bag, paper, multi-wall ",Multi-wall paper bag,,,Mehrwandige Papiertüte,,,"papieren zak,meerwandig",,,
XXK,"Bag, paper, multi-wall, water resistant","Multi-wall paper bag, water resistant",,,"Mehrwandige Papiertüte, wasserabweisend",,,"papieren zak, meerwandig, waterafstotend",,,
XZA,"Intermediate bulk container, paper, multi-wall ",Multi-wall paper intermediate bulk container,,,Mehrwandiger Papier-Intermediate Bulk Container,,,"papieren Intermediate-Bulk-Container, meerwandig",,,
XMS,"Sack, multi-wall ",Multi-wall sack,,,Mehrwandiger Sack,,,meerwandige zak,,,
XOV,Returnable pallet,Returnable pallet,,,Mehrwegpalette,,,herbruikbare pallet,,,Pallet must be returned to the point of expedition.
XME,"Container, metal",Metal container,,,Metallbehälter,,,metalen container,,,"A type of containment box made of metal for retaining substances or articles, not otherwise specified as transport equipment."
XEH,"Case, with pallet base, metal",Metal case with pallet base,,,Metallbox mit Palettenboden,,,metalen kist met palletbodem,,,
XMR,"Receptacle, metal ",Metal receptacle,,,Metallgefäß,,,metalen vat,,,Containment vessel made of metal for retaining substances or articles.
XWJ,"Intermediate bulk container, metal, pressure 10 kpa ","Metal intermediate bulk container, pressure 10 kpa",,,"Metall-Intermediate Bulk Container, Druck 10 kPa",,,metalen Intermediate-Bulk-Container onder druk 10 kPa,,,
XWF,"Intermediate bulk container, metal ",Metal intermediate bulk container,,,Metall-Intermediate-Bulk-Behälter,,,metalen Intermediate-Bulk-Container,,,
XMA,"Crate, metal",Metal crate,,,Metallkiste,,,metalen krat,,,Containment box made of metal for retaining substances or articles.
XMC,"Crate, milk",Milk crate,,,Milchkiste,,,melkkrat,,,
XPD,"Pallet, modular, collars 80cms * 100cms ","Modular pallet, collars 80cms * 100cms",,,"Modulare Palette, Aufsatzrahmen 80 cm * 100 cm",,,stapelbare palletrand 80cm * 100cm,,,Standard sized pallet of dimensions 80 centimeters by 100 centimeters (cms).
XPE,"Pallet, modular, collars 80cms * 120cms ","Modular pallet, collars 80cms * 120cms",,,"Modulare Palette, Aufsatzrahmen 80 cm * 120 cm",,,stapelbare palletrand 80cm * 120cm,,,Standard sized pallet of dimensions 80 centimeters by 120 centimeters (cms).
XAF,"Pallet, modular, collars 80cms * 60cms ","Modular pallet, collars 80 cms * 60 cms",,,"Modulare Palette, Aufsatzrahmen 80 cm * 60 cm",,,stapelbare palletrand 80cm * 60cm,,,Standard sized pallet of dimensions 80 centimeters by 60 centimeters (cms).
XMB,"Bag, multiply",Multiply bag,,,Multiply Beutel,,,multiply tas,,,
XQP,"Box, wooden, natural wood, ordinary","Wooden box, natural wood, ordinary",,,Naturholz-Kiste,,,natuurhouten kist,,,
XQQ,"Box, wooden, natural wood, with sift proof walls","Wooden box, natural wood, with sift proof walls",,,Naturholz-Kiste mit staubdichten Wänden,,,houten kist met stofdichte wanden,,,
XNS,Nest ,Nest ,,,Nest ,,,nest,,,
XNT,Net,Net,,,Netz,,,net,,,
XNA,Not available,Not available,,,Nicht verfügbar,,,niet beschikbaar,,,
XFC,"Crate, fruit ",Fruit crate,,,Obstkiste,,,fruitkrat,,,
XUC,Uncaged ,Uncaged ,,,Ohne Käfig ,,,zonder kooi,,,
XOT,Octabin,Octabin,,,Oktabin,,,octabin huls,,,"A standard cardboard container of large dimensions for storing for example vegetables, granules of plastics or other dry products."
XHG,Hogshead ,Hogshead ,,,Oxhoft,,,vat (Engels: hogshead),,,
XPK,Package,Package,pkg.,pkg,Packung,Pkg.,"pkg, pkt",verpakking,,,Standard packaging unit.
XPC,Parcel ,Parcel ,,,Paket ,,,pakket,,,
XPX,Pallet ,Pallet ,,,Palette ,,,pallet,,,"Platform or open-ended box, usually made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
XOR,Pallet 60 X 100 cm,Pallet 60 X 100 cm,,,Palette 60 X 100 cm,,,pallet 60 X 100 cm,,,Pallet with dimensions 60 X 100 cm.
XOQ,Pallet 80 X 100 cm,Pallet 80 X 100 cm,,,Palette 80 X 100 cm,,,pallet 80 X 100 cm,,,Pallet with dimensions 80 X 100 cm.
XOZ,Wheeled pallet with raised rim ( 81 x 60 x 16),Wheeled pallet with raised rim ( 81 x 60 x 16),,,Palette auf Rädern mit erhöhtem Rand ( 81 x 60 x 16),,,pallet op wielen met opstaande rand (81 x 60 x 16 cm),,,A wheeled pallet with raised rim for the storing and transporting of loads. Dimensions: 81 x 60 x 16 cm (length x width x height).
XOX,A wheeled pallet with raised rim (81 x 67 x 135),Wheeled pallet with raised rim (81 x 67 x 135),,,Palette auf Rädern mit erhöhtem Rand (81 x 67 x 135),,,pallet op wielen met opstaande rand (81 x 67 x 135 cm),,,A wheeled pallet with raised rim for the storing and transporting of loads. Dimensions: 81 x 67 x 135 cm (length x width x height).
XOY,A Wheeled pallet with raised rim (81 x 72 x 135),Wheeled pallet with raised rim (81 x 72 x 135),,,Palette auf Rädern mit erhöhtem Rand (81 x 72 x 135),,,pallet op wielen met opstaande rand (81 x 72 x 135 cm),,,A wheeled pallet with raised rim for the storing and transporting of loads. Dimensions: 81 x 72 x 135 cm (length x width x height).
XOG,Pallet ISO 0 - 1/2 EURO Pallet,Pallet ISO 0 - 1/2 EURO Pallet,,,Palette ISO 0 - 1/2 EURO Palette,,,pallet ISO 0 - 1/2 EURO pallet,,,Standard pallet with dimensions 80 X 60 cm.
XOH,Pallet ISO 1 - 1/1 EURO Pallet,Pallet ISO 1 - 1/1 EURO Pallet,,,Palette ISO 1 - 1/1 EURO Palette,,,pallet ISO 1 - 1/1 EURO pallet,,,Standard pallet with dimensions 80 X 120 cm.
XOI,Pallet ISO 2 – 2/1 EURO Pallet,Pallet ISO 2 – 2/1 EURO Pallet,,,Palette ISO 2 – 2/1 EURO Palette,,,pallet ISO 2 – 2/1 EURO pallet,,,Standard pallet with dimensions 100 X 120 cm.
XO6,Pallet with exceptional dimensions,Pallet with exceptional dimensions,,,Palette mit besonderen Abmessungen,,,pallet met speciale afmetingen,,,Pallet with non-standard dimensions
XAH,"Pallet, 100cms * 110cms ","Pallet, 100 cms * 110 cms ",,,"Palette, 100 cm * 110 cm ",,,pallet 100 x 110 cm ,,,Standard sized pallet of dimensions 100centimeters by 110 centimeters (cms).
XOD,"Pallet, AS 4068-1993","Pallet, AS 4068-1993",,,"Palette, AS 4068-1993",,,"pallet, AS 4068-1993",,,Australian standard pallet of dimensions 116.5 centimeters x 116.5 centimeters.
XOE,"Pallet, ISO T11","Pallet, ISO T11",,,"Palette, ISO T11",,,"pallet, ISO T11",,,"ISO standard pallet of dimensions 110 centimeters x 110 centimeters, prevalent in Asia - Pacific region."
XAC,"Receptacle, paper ",Paper receptacle,,,Papiergefäß,,,papieren container,,,Containment vessel made of paper for retaining substances or articles.
XZC,"Intermediate bulk container, paper, multi-wall, water resistant","Paper intermediate bulk container, multi-wall, water resistant",,,"Papier-Intermediate Bulk Container, mehrwandig, wasserdicht",,,"papieren Intermediate-Bulk-Container, meerwandig, waterafstotend",,,
X5M,"Bag, paper ",Paper bag,,,Papiertüte,,,papieren zak,,,
X1G,"Drum, fibre",Fibre drum,,,Pappfass,,,trommel van vezelmateriaal,,,
XAB,"Receptacle, fibre ",Fibre receptacle,,,Pappgefäß,,,container van vezelmateriaal,,,Containment vessel made of fibre used for retaining substances or articles.
XDC,"Crate, multiple layer, cardboard ","Cardboard crate, multiple layer",,,"Pappkiste, mehrlagig",,,meerlaagse kartonnen doos,,,
XHC,"Basket, with handle, cardboard ",Cardboard basket with handle,,,Pappkorb mit Griff,,,kartonnen mand met handvat,,,
XDV,"Tray, one layer no cover, cardboard","Cardboard tray, one layer, no cover",,,"Pappschale, einlagig, ohne Deckel",,,"kartonnen schaal, enkellaags zonder deksel",,,
XDY,"Tray, two layers no cover, cardboard ","Cardboard tray, two layers, no cover",,,"Pappschale, zweilagig, ohne Deckel",,,"kartonnen schaal, tweelaags zonder deksel",,,
XPF,Pen ,Pen ,,,Pen,,,hok,,,A small open top enclosure for retaining animals.
XVI,Vial ,Vial ,,,Phiole ,,,flacon,,,
XEG,"Case, with pallet base, plastic",Plastic case with pallet base,,,Plastikbox mit Palettenboden,,,kunststof kist met palletbodem,,,
XIH,"Drum, plastic",Plastic drum,,,Plastikfass,,,kunststof trommel,,,
XQG,"Drum, plastic, removable head","Plastic drum, removable head",,,"Plastikfass, abnehmbarer Kopf",,,"kunsttof trommel, afneembare deskel",,,
XQF,"Drum, plastic, non-removable head","Plastic drum, non-removable head",,,"Plastikfass, nicht abnehmbarer Kopf",,,"kunststof trommel, niet-afneembare deskel",,,
XSP,"Sheet, plastic wrapping",Plastic wrapping sheet,,,Plastikfolie,,,plasticfolie,,,
XXD,"Bag, plastics film ",Plastics film bag,,,Plastik-Folienbeutel,,,plasticfolie zak,,,
XPR,"Receptacle, plastic ",Plastic receptacle,,,Plastikgefäß,,,plastic container,,,Containment vessel made of plastic for retaining substances or articles.
XYC,"Composite packaging, plastic receptacle in aluminium drum",Plastic receptacle in aluminium drum composite packaging,,,Plastikgefäß in Aluminium-Fassverbundverpackung,,,plastic container in aluminium trommel composietverpakking,,,
XYD,"Composite packaging, plastic receptacle in aluminium crate",Plastic receptacle in aluminium crate composite packaging,,,Plastikgefäß in Aluminiumkisten-Verbundverpackung,,,plastic container in aluminium krat composietverpakking,,,
XYK,"Composite packaging, plastic receptacle in fibreboard box",Plastic receptacle in fibreboard box composite packaging,,,Plastikgefäß in Faserverbundverpackung,,,plastic container in spaanplaat box composietverpakking,,,
XYJ,"Composite packaging, plastic receptacle in fibre drum",Plastic receptacle in fibre drum composite packaging,,,Plastikgefäß in Faserverbundverpackungen,,,plastic container in trommel van vezelmateriaal composietverpakking,,,
XYF,"Composite packaging, plastic receptacle in wooden box",Plastic receptacle in wooden box composite packaging,,,Plastikgefäß in Holzkisten-Verbundverpackung,,,plastic container in houten box composietverpakking,,,
XYL,"Composite packaging, plastic receptacle in plastic drum",Plastic receptacle in plastic drum composite packaging,,,Plastikgefäß in Plastikfass-Verbundverpackung,,,plastic container in plastic trommel  composietverpakking,,,
XYH,"Composite packaging, plastic receptacle in plywood box ",Plastic receptacle in plywood box composite packaging,,,Plastikgefäß in Sperrholzbox-Verbundverpackung,,,plastic container in multiplex box composietverpakking,,,
XYG,"Composite packaging, plastic receptacle in plywood drum",Plastic receptacle in plywood drum composite packaging,,,Plastikgefäß in Sperrholztrommel-Verbundverpackung,,,plastic container in multiplex trommel composietverpakking,,,
XYA,"Composite packaging, plastic receptacle in steel drum",Plastic receptacle in steel drum composite packaging,,,Plastikgefäß in Stahlfass-Verbundverpackung,,,plastic container in metalen trommel composietverpakking,,,
XYB,"Composite packaging, plastic receptacle in steel crate box",Plastic receptacle in steel crate box composite packaging,,,Plastikgefäß in Verbundverpackung für Stahlkistenboxen,,,plastic container in stalen box composietverpakking,,,
XYM,"Composite packaging, plastic receptacle in solid plastic box",Plastic receptacle in solid plastic box composite packaging,,,Plastikgefäß in Verbundverpackung für Vollplastikboxen,,,plastic container is hard plastic box composietverpakking,,,
X3H,"Jerrican, plastic",Plastic jerrican,,,Plastikkanister,,,kunststof jerrycan,,,
XQN,"Jerrican, plastic, removable head","Plastic jerrican, removable head",,,"Plastik-Kanister, abnehmbarer Kopf",,,"kunststof jerrycan, afneembare dop",,,
XQM,"Jerrican, plastic, non-removable head","Plastic jerrican, non-removable head",,,"Plastik-Kanister, nicht abnehmbarer Kopf",,,"kunsttof jerrycan, niet-afneembare dop",,,
X4H,"Box, plastic",Plastic box,,,Plastikkiste,,,kunststof box,,,
XDA,"Crate, multiple layer, plastic ","Plastic crate, multiple layer",,,"Plastikkiste, mehrlagig",,,"kunststof krat, meerlaags",,,
XHA,"Basket, with handle, plastic ",Plastic basket with handle,,,Plastikkorb mit Griff,,,kunststof mand met handvat,,,
XOM,Synthetic pallet ISO 1,Synthetic pallet ISO 1,,,Plastikpalette ISO 1,,,ISO 1 kunststof pallet,,,A standard pallet with standard dimensions 80 x 120cm made of a synthetic material for hygienic reasons.
XON,Synthetic pallet ISO 2,Synthetic pallet ISO 2,,,Plastikpalette ISO 2,,,ISO 2 kunststof pallet,,,A standard pallet with standard dimensions 100 x 120cm made of a synthetic material for hygienic reasons.
XO8,Plastic pallet SRS 60 cm x 80 cm,Plastic pallet SRS 60 cm x 80 cm,,,Plastikpalette SRS 60 cm x 80 cm,,,kunststof pallet SRS 60 cm x 80 cm,,,SRS (Svenska Retursystem) standard synthetic pallet of dimensions 60 cm x 80 cm.
XO9,Plastic pallet SRS 80 cm x 120 cm,Plastic pallet SRS 80 cm x 120 cm,,,Plastikpalette SRS 80 cm x 120 cm,,,kunststof pallet SRS 80 cm x 120 cm,,,SRS (Svenska Retursystem) standard synthetic pallet of dimensions 80 cm x 120 cm.
XDS,"Tray, one layer no cover, plastic","Plastic tray, one layer, no cover",,,"Plastikschale, einlagig, ohne Deckel",,,"kunststof schaal, enkellaags, zonder deksel",,,
XDW,"Tray, two layers no cover, plastic tray","Plastic tray, two layers, no cover",,,"Plastikschale, zweilagig, ohne Deckel",,,"kunststof schaal, tweelaags, zonder deksel",,,
XNU,"Net, tube, plastic ",Plastic tube net,,,Plastik-Schlauchnetz,,,kunstof buisnet,,,
XEC,"Bag, plastic ",Plastic bag,,,Plastiktüte,,,plastic zak,,,
X6H,"Composite packaging, plastic receptacle",Plastic composite packaging,,,Plastik-Verbundverpackung,,,kunststof composiet verpakking,,,
XSB,Slab,Slab,,,Platte,,,plaat,,,
XPY,"Plates, in bundle/bunch/truss",Plates,,,Platten,,,platen,,,
XFW,"Cart, flatbed",Flatbed cart,,,Plattformwagen,,,platformwagen,,,Wheeled flat bedded device on which trays or other regular shaped items are packed for transportation purposes.
X44,"Bag, polybag",Polybag,,,Polybeutel,,,polyzak,,,"A type of plastic bag, typically used to wrap promotional pieces, publications, product samples, and/or catalogues. "
XBL,"Bale, compressed ",Compressed bale,,,Pressballen,,,baal (gecomprimeerd),,,
XOF,"Platform, unspecified weight or dimension",Platform,,,Pritsche,,,plankenbed,,,A pallet equivalent shipping platform of unknown dimensions or unknown weight. 
XTK,"Tank, rectangular",Rectangular tank,,,Rechteckbehälter,,,rechthoekige tank,,,
XCA,"Can, rectangular ",Rectangular can,,,Rechteckige Dose,,,rechthoekig blik,,,
XJC,"Jerrican, rectangular",Rectangular jerrican,,,Rechteckiger Kanister,,,rechthoekige jerrycan,,,
XRT,Rednet ,Rednet ,,,Rednet,,,buisnet,,,Containment material made of red mesh netting for retaining articles (e.g. trees).
XTE,Tyre,Tyre,,,Reifen,,,band,,,A ring made of rubber and/or metal surrounding a wheel.
XZY,"Intermediate bulk container, reconstituted wood",Reconstituted wood intermediate bulk container,,,Rekonstituierter Holz-Intermediate-Bulk-Container,,,Intermediate-Bulk-Container van geperst hout ,,,
XWZ,"Intermediate bulk container, reconstituted wood, with inner liner",Reconstituted wood intermediate bulk container with inner liner,,,Rekonstituierter Holz-Intermediate-Bulk-Container mit Innenauskleidung,,,Intermediate-Bulk-Container van geperst hout met liner,,,
XBR,Bar,Bar,,,Riegel,,,reep,,,
XRG,Ring ,Ring ,,,Ring ,,,ring,,,
XPV,"Pipes, in bundle/bunch/truss ",Pipes,,,Rohre ,,,buizen ,,,
XTZ,"Tubes, in bundle/bunch/truss ",Tubes,,,Rohre ,,,tubes,,,
XCW,"Cage, roll ",Roll cage,,,Rollcontainer,,,rolcontainer,,,
XBT,Bolt ,Bolt ,,,Rolle,,,rol,,,
XCL,Coil ,Coil ,,,Rolle,,,spoel,,,
XRO,Roll ,Roll ,,,Rolle,,,rol,,,
X1A,"Drum, steel",Steel drum,,,Rollreifenfass,,,stalen trommel,,,
XO2,Trolley,Trolley,,,Rollwagen,,,rolwagen,,,"A low cart for the transportation and storage of groceries, milk, etc."
XTY,"Tank, cylindrical",Tank,,,Rundbehälter,,,ronde tank,,,
XSA,Sack ,Sack ,,,Sack ,,,zak,,,
XBM,Basin,Bowl,,,Schüssel,,,bassin,,,
XQR,"Box, plastic, expanded ",Expanded plastic box,,,Schaumstoffbox,,,schuimplastic box,,,
XLG,Log,Log,,,Scheit/Stamm,,,stam,,,
XPI,Pipe ,Pipe ,,,Schlauch,,,buis,,,
XVS,"Bulk, scrap metal",Scrap metal bulk,,,Schrott-Schüttgut,,,bulk schroot,,,Loose or unpacked scrap metal transported in bulk form. 
XSW,Shrinkwrapped  ,Shrinkwrapped  ,,,Schrumpfverpackung,,,in krimpfolie,,,Goods retained in a transparent plastic film that has been wrapped around and then shrunk tightly on to the goods.
XSE,Sea-chest,Sea chest,,,Seekasten,,,overzeese kist,,,
XSX,Set,Set,,,Set,,,set,,,
XIE,"Package, show",Show package,,,Show-Paket,,,display-verpakking,,,
XSK,"Case, skeleton ",Skeleton case,,,Skelett-Gehäuse,,,skelet-behuizing,,,
XSL,Slipsheet ,Slipsheet ,,,Slipsheet,,,slipsheet,,,Hard plastic sheeting primarily used as the base on which to stack goods to optimise the space within a container. May be used as an alternative to a palletized packaging.
XDN,Dispenser,Dispenser,,,Spender,,,dispenser,,,
X1D,"Drum, plywood",Plywood drum,,,Sperrholzfass,,,multiplex trommel,,,
XWY,"Intermediate bulk container, plywood, with inner liner ",Plywood intermediate bulk container with inner liner,,,Sperrholz-Intermediate-Bulk-Container mit Innenauskleidung,,,multiplex Intermediate-Bulk-Container met liner,,,
X4D,"Box, plywood",Plywood box,,,Sperrholzkiste,,,multiplex box,,,
XSD,Spindle,Spindle,,,Spindel,,,spindel,,,
XAE,Aerosol,Aerosol,,,Sprühdose,,,spuitbus,,,
XRL,Reel ,Reel ,,,Spule,,,spoel,,,Cylindrical rotatory device with a rim at each end on which materials are wound.
XBB,Bobbin ,Bobbin ,,,Spule ,,,spoel,,,
XSO,Spool ,Spool ,,,Spule ,,,spoel,,,"A packaging container used in the transport of such items as wire, cable, tape and yarn."
XBZ,"Bars, in bundle/bunch/truss",Bars,,,Stabbündel,,,repen,,,
XRZ,"Rods, in bundle/bunch/truss",Rods,,,Stäbe,,,staven,,,
XQB,"Drum, steel, removable head","Steel drum, removable head",,,"Stahlfass, abnehmbarer Kopf",,,"stalen trommel, afneembare deskel",,,
XQA,"Drum, steel, non-removable head","Steel drum, non-removable head",,,"Stahlfass, nicht abnehmbarer Kopf",,,"stalen trommel, niet-afneembare deksel",,,
XSS,"Case, steel",Steel case,,,Stahlgehäuse,,,stalen behuizing,,,
XSV,"Envelope, steel",Steel envelope,,,Stahlhülle,,,stalen omhulsel,,,
XWC,"Intermediate bulk container, steel ",Steel intermediate bulk container,,,Stahl-Intermediate-Bulk-Container,,,stalen Intermediate-Bulk-Container,,,
XQK,"Jerrican, steel, non-removable head","Steel jerrican, non-removable head",,,"Stahlkaner, nicht abnehmbarer Kopf",,,"stalen jerrycan, niet-afneembare dop",,,
X3A,"Jerrican, steel",Steel jerrican,,,Stahlkanister,,,stalen jerrycan,,,
XQL,"Jerrican, steel, removable head","Steel jerrican, removable head",,,"Stahlkanister, abnehmbarer Kopf",,,"stalen jerrycan, afneembare dop",,,
X4A,"Box, steel",Steel box,,,Stahlkiste,,,stalen box,,,
XLZ,"Logs, in bundle/bunch/truss",Logs,,,Stämme,,,stammen,,,
XRD,Rod,Rod,,,Stange,,,staaf,,,
XIL,"Tray, rigid, lidded stackable (CEN TS 14482:2002)","Lidded rigid tray, stackable",,,"Starres Tablett mit Deckel, stapelbar",,,stapelbare bak met deksel (conform CEN TS 14482:2002),,,Lidded stackable rigid tray compliant with CEN TS 14482:2002.
XAA,"Intermediate bulk container, rigid plastic",Rigid plastic intermediate bulk container,,,Steifer intermediärer Schüttgutbehälter (RIBC),,,hard plastic Intermediate-Bulk-Container,,,
XSC,"Crate, shallow ",Shallow crate,,,Steige,,,ondiepe krat,,,
XLU,Lug,Lug,,,Stiege,,,stapelkrat,,,A wooden box for the transportation and storage of fruit or vegetables.
XNV,"Net, tube, textile ",Textile tube net,,,Stoff-Schlauchnetz,,,stoffen buisnet,,,
X5L,"Bag, textile ",Textile bag,,,Stofftüte,,,stoffen tas,,,
XMX,Matchbox ,Matchbox ,,,Streichholzschachtel ,,,luciferdoosje ,,,
XPP,Piece,Piece,,pc,Stück,,"stk, st, stueck",stuk,,,A loose or unpacked article. 
XDU,"Tray, one layer no cover, polystyrene","Polystyrene tray, one layer, no cover",,,"Styroporschale, einlagig, ohne Deckel",,,"polystyreen bakje, enkellaags, zonder deksel",,,
XGU,"Tray, containing horizontally stacked flat items",Tray containing horizontally stacked flat items,,,Tablett mit horizontal gestapelten flachen Gegenständen,,,schaal met horizontaal gestapelde platte voorwerpen,,,Tray containing flat items stacked on top of one another.
XPU,Tray ,Tray ,,,Schale,,,tray,,,
XT1,Tablet,Tablet,,,Tablette,,,tablet,,,"A loose or unpacked article in the form of a bar, block or piece. "
XTG,"Tank container, generic",Tank container,,,Tankcontainer,,,tank container,,,A specially constructed container for transporting liquids and gases in bulk.
XBG,Bag,Bag,,,Tasche,,,tas,,,A receptacle made of flexible material with an open or closed top.
XTC,Tea-chest,Tea chest,,,Teekiste,,,theekist,,,
XPG,Plate,Plate,,,Teller,,,bord,,,
XWT,"Intermediate bulk container, textile with out coat/liner ",Textile with out coat/liner intermediate bulk container,,,Textil ohne Mantel/Liner Intermediate Bulk Container,,,textielen Intermediate-Bulk-Container zonder liner,,,
XXG,"Bag, textile, sift proof ","Textile bag, sift proof",,,"Textilbeutel, siebfest",,,"textielen zak, stofdicht",,,
XWW,"Intermediate bulk container, textile, with liner ",Textile intermediate bulk container with liner,,,Textiler Intermediate Bulk Container mit Liner,,,textielen Intermediate-Bulk-Container met liner,,,
XWV,"Intermediate bulk container, textile, coated ","Textile intermediate bulk container, coated",,,"Textiler Intermediate Bulk Container, beschichtet",,,"textielen Intermediate-Bulk-Container, gecoat",,,
XWX,"Intermediate bulk container, textile, coated and liner ","Textile intermediate bulk container, coated and liner",,,"Textiler Intermediate Bulk Container, beschichtet und Liner",,,"textielen Intermediate-Bulk-Container, gecoat met liner",,,
XXF,"Bag, textile, without inner coat/liner ",Textile bag without inner coat/liner,,,Textiltasche ohne Innenmantel/Liner,,,textielen tas zonder liner,,,
XXH,"Bag, textile, water resistant","Textile bag, water resistant",,,"Textiltasche, wasserabweisend",,,"textielen tas, waterafstotend",,,
XP2,Pan,Pan,,,Tiegel,,,schaal,,,"A shallow, wide, open container, usually of metal."
XTI,Tierce,Tierce,,,Tierce,,,vat (Engels: tierce),,,
XCK,Cask ,Cask ,,,Tonne,,,vat,,,
XPT,Pot,Pot,,,Topf,,tiegel,pan,,,
XGI,Girder ,Girder ,,,Träger ,,,drager,,,
XGZ,"Girders, in bundle/bunch/truss ",Girders,,,Trägerbündel,,,dragers,,,
XTT,"Bag, tote",Tote bag,,,Tragetasche,,,draagtas,,,A capacious bag or basket.
XHR,Hamper ,Hamper ,,,Tragkorb,,,draagmand,,,
XTW,"Pallet, triwall",Triwall pallet,,,Tri-Wall-Palette,,,drielaags-kartonnen pallet,,,A lightweight pallet made from heavy duty corrugated board.  
XCH,Chest,Chest,,,Truhe,,,kist (Engels: chest),,,
XFO,Footlocker ,Footlocker ,,,Truhe,,,kist (Engels: footlocker),,,
XTR,Trunk,Trunk,,,Truhe,,,kist (Engels: trunk),,,
XTU,Tube ,Tube ,,,Tube,,,tube,,,
XTV,"Tube, with nozzle ",Tube with nozzle ,,,Tube mit Düse ,,,spuitkoker,,,"A tube made of plastic, metal or cardboard fitted with a nozzle, containing a liquid or semi-liquid product, e.g. silicon."
XEN,Envelope ,Envelope ,,,Umschlag,,,envelop,,,
XNE,Unpacked or unpackaged ,Unpackaged ,,,Unverpackt,,,onverpakt,,,
XVP,Vacuum-packed,Vacuum-packed,,,Vakuumverpackt,,,vacuüm verpakt,,,
XVK,Vanpack ,Vanpack ,,,Vanpack ,,,Vanpack krat,,,A type of wooden crate. 
XVN,Vehicle,Vehicle,,,Vehikel,,,voertuig,,,A self-propelled means of conveyance.
XWB,Wickerbottle ,Wickerbottle ,,,Weidenflasche ,,,mandfles,,,
XAT,Atomizer ,Atomizer ,,,Zerstäuber ,,,verstuiver ,,,
XTD,"Tube, collapsible",Collapsible tube,,,Zusammenklappbare Tube,,,inschuifbare buis,,,
XO1,Two sided cage on wheels with fixing strap,Two sided cage on wheels with fixing strap,,,Zweiseitiger Käfig auf Rädern mit Befestigungsgurt,,,2-heks rolcontainer met spanbanden,,,A two sided cage mounted on wheels with fixing strap. Dimensions: 900 x 770 x 1513 cm (length x width x height).
XWS,"Intermediate bulk container, plastic film",Plastic film intermediate bulk container,,,Zwischenbehälter aus Plastikfolie,,,kunststoffolie Intermediate-Bulk-Container,,,
XCY,Cylinder ,Cylinder ,,,Zylinder ,,,cilinder ,,,
